task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	26	48	5	199	244	0	0	2
2	9	10	-5	382	427	0	1	0
3	41	30	5	201	246	0	0	4
4	40	20	-5	499	544	0	3	0
5	16	45	10	118	163	0	0	6
6	30	16	-10	466	511	0	5	0
7	45	25	6	192	237	0	0	8
8	6	32	-6	485	530	0	7	0
9	1	37	10	315	360	0	0	10
10	6	24	-10	424	469	0	9	0
11	31	33	12	124	169	0	0	12
12	5	28	-12	451	496	0	11	0
13	17	24	15	183	228	0	0	14
14	39	39	-15	323	368	0	13	0
15	42	31	9	166	211	0	0	16
16	4	44	-9	430	475	0	15	0
17	12	29	14	362	407	0	0	18
18	19	29	-14	450	495	0	17	0
19	21	15	11	260	305	0	0	20
20	9	47	-11	468	513	0	19	0
21	26	22	7	68	113	0	0	22
22	5	26	-7	415	460	0	21	0
23	32	39	13	253	298	0	0	24
24	16	50	-13	386	431	0	23	0
25	1	5	11	176	221	0	0	26
26	32	6	-11	370	415	0	25	0
27	14	10	12	298	343	0	0	28
28	42	40	-12	480	525	0	27	0
29	17	47	10	250	295	0	0	30
30	43	9	-10	451	496	0	29	0
31	49	31	15	179	224	0	0	32
32	13	34	-15	468	513	0	31	0
33	12	46	12	111	156	0	0	34
34	38	49	-12	242	287	0	33	0
35	46	34	10	196	241	0	0	36
36	22	27	-10	340	385	0	35	0
37	46	48	14	221	266	0	0	38
38	1	18	-14	463	508	0	37	0
39	50	35	11	124	169	0	0	40
40	12	26	-11	438	483	0	39	0
41	24	15	5	183	228	0	0	42
42	17	35	-5	313	358	0	41	0
43	9	33	9	176	221	0	0	44
44	4	34	-9	257	302	0	43	0
45	11	13	10	330	375	0	0	46
46	18	7	-10	467	512	0	45	0
47	4	13	7	179	224	0	0	48
48	8	42	-7	441	486	0	47	0
49	23	37	6	194	239	0	0	50
50	19	42	-6	336	381	0	49	0
51	20	48	12	274	319	0	0	52
52	9	30	-12	429	474	0	51	0
53	44	32	13	136	181	0	0	54
54	34	17	-13	341	386	0	53	0
55	2	3	7	241	286	0	0	56
56	32	43	-7	484	529	0	55	0
57	45	24	9	303	348	0	0	58
58	39	40	-9	485	530	0	57	0
59	28	22	13	359	404	0	0	60
60	20	18	-13	483	528	0	59	0
61	27	20	14	292	337	0	0	62
62	21	1	-14	470	515	0	61	0
63	21	28	6	397	442	0	0	64
64	38	28	-6	497	542	0	63	0
65	16	17	6	321	366	0	0	66
66	21	0	-6	458	503	0	65	0
67	37	17	12	215	260	0	0	68
68	28	14	-12	376	421	0	67	0
69	48	41	12	172	217	0	0	70
70	38	15	-12	394	439	0	69	0
71	3	15	8	275	320	0	0	72
72	21	20	-8	470	515	0	71	0
73	35	10	14	206	251	0	0	74
74	12	28	-14	385	430	0	73	0
75	44	28	15	209	254	0	0	76
76	16	6	-15	373	418	0	75	0
77	28	30	6	127	172	0	0	78
78	43	2	-6	310	355	0	77	0
79	25	4	9	243	288	0	0	80
80	4	13	-9	431	476	0	79	0
81	28	27	12	77	122	0	0	82
82	33	2	-12	298	343	0	81	0
83	19	31	11	97	142	0	0	84
84	49	28	-11	258	303	0	83	0
85	9	20	14	230	275	0	0	86
86	35	0	-14	386	431	0	85	0
87	12	43	8	362	407	0	0	88
88	3	38	-8	470	515	0	87	0
89	26	39	8	191	236	0	0	90
90	45	11	-8	347	392	0	89	0
91	22	18	15	412	457	0	0	92
92	20	29	-15	524	569	0	91	0
93	15	41	8	359	404	0	0	94
94	24	39	-8	487	532	0	93	0
95	43	36	9	264	309	0	0	96
96	5	24	-9	477	522	0	95	0
97	16	16	7	42	87	0	0	98
98	29	16	-7	371	416	0	97	0
99	23	23	13	227	272	0	0	100
100	29	29	-13	454	499	0	99	0
