task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	3	13	19	125	170	0	0	2
2	15	42	-19	401	446	0	1	0
3	46	15	15	210	255	0	0	4
4	33	34	-15	441	486	0	3	0
5	1	43	19	287	332	0	0	6
6	10	26	-19	476	521	0	5	0
7	14	13	15	224	269	0	0	8
8	20	34	-15	483	528	0	7	0
9	48	41	10	93	138	0	0	10
10	4	45	-10	444	489	0	9	0
11	33	48	16	196	241	0	0	12
12	3	32	-16	424	469	0	11	0
13	5	48	17	210	255	0	0	14
14	27	5	-17	448	493	0	13	0
15	42	30	6	226	271	0	0	16
16	40	29	-6	468	513	0	15	0
17	25	20	19	304	349	0	0	18
18	43	12	-19	486	531	0	17	0
19	26	15	8	155	200	0	0	20
20	3	11	-8	326	371	0	19	0
21	42	28	10	216	261	0	0	22
22	20	36	-10	431	476	0	21	0
23	25	26	8	208	253	0	0	24
24	7	19	-8	325	370	0	23	0
25	23	8	14	174	219	0	0	26
26	49	23	-14	369	414	0	25	0
27	25	36	5	332	377	0	0	28
28	36	48	-5	448	493	0	27	0
29	45	50	14	308	353	0	0	30
30	42	9	-14	482	527	0	29	0
31	45	17	10	102	147	0	0	32
32	35	41	-10	259	304	0	31	0
33	43	25	20	435	480	0	0	34
34	45	23	-20	491	536	0	33	0
35	47	10	20	171	216	0	0	36
36	15	35	-20	441	486	0	35	0
37	3	15	8	164	209	0	0	38
38	4	32	-8	446	491	0	37	0
39	16	29	11	169	214	0	0	40
40	11	19	-11	327	372	0	39	0
41	1	21	10	91	136	0	0	42
42	41	15	-10	324	369	0	41	0
43	44	6	20	250	295	0	0	44
44	4	21	-20	443	488	0	43	0
45	21	31	20	64	109	0	0	46
46	4	4	-20	404	449	0	45	0
47	6	16	6	195	240	0	0	48
48	6	37	-6	394	439	0	47	0
49	40	20	13	215	260	0	0	50
50	23	18	-13	404	449	0	49	0
51	22	32	18	206	251	0	0	52
52	34	28	-18	503	548	0	51	0
53	18	48	8	224	269	0	0	54
54	11	44	-8	379	424	0	53	0
55	3	14	13	351	396	0	0	56
56	13	21	-13	452	497	0	55	0
57	17	29	14	222	267	0	0	58
58	6	8	-14	473	518	0	57	0
59	38	10	9	350	395	0	0	60
60	31	34	-9	496	541	0	59	0
61	21	19	14	337	382	0	0	62
62	21	13	-14	478	523	0	61	0
63	35	34	16	337	382	0	0	64
64	31	29	-16	495	540	0	63	0
65	14	49	13	233	278	0	0	66
66	37	36	-13	480	525	0	65	0
67	9	48	9	170	215	0	0	68
68	38	39	-9	493	538	0	67	0
69	36	30	11	289	334	0	0	70
70	47	28	-11	455	500	0	69	0
71	5	30	12	183	228	0	0	72
72	1	24	-12	295	340	0	71	0
73	49	2	14	151	196	0	0	74
74	46	44	-14	349	394	0	73	0
75	1	11	18	197	242	0	0	76
76	37	26	-18	399	444	0	75	0
77	41	19	17	144	189	0	0	78
78	21	20	-17	409	454	0	77	0
79	49	16	16	279	324	0	0	80
80	50	41	-16	411	456	0	79	0
81	40	44	20	184	229	0	0	82
82	44	7	-20	388	433	0	81	0
83	11	4	16	276	321	0	0	84
84	31	40	-16	460	505	0	83	0
85	0	1	16	268	313	0	0	86
86	1	11	-16	348	393	0	85	0
87	21	33	16	316	361	0	0	88
88	42	45	-16	462	507	0	87	0
89	35	12	19	276	321	0	0	90
90	5	27	-19	481	526	0	89	0
91	23	20	11	229	274	0	0	92
92	3	38	-11	371	416	0	91	0
93	25	29	12	74	119	0	0	94
94	14	42	-12	267	312	0	93	0
95	18	4	7	120	165	0	0	96
96	36	40	-7	323	368	0	95	0
97	41	47	9	164	209	0	0	98
98	5	24	-9	418	463	0	97	0
99	28	9	18	202	247	0	0	100
100	3	14	-18	440	485	0	99	0
