task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	36	5	6	136	226	0	0	2
2	19	24	-6	436	526	0	1	0
3	13	36	12	244	334	0	0	4
4	30	43	-12	437	527	0	3	0
5	22	20	14	188	278	0	0	6
6	45	22	-14	373	463	0	5	0
7	10	31	13	188	278	0	0	8
8	49	33	-13	419	509	0	7	0
9	44	12	9	100	190	0	0	10
10	11	43	-9	355	445	0	9	0
11	47	24	15	165	255	0	0	12
12	21	38	-15	372	462	0	11	0
13	24	49	11	273	363	0	0	14
14	15	35	-11	438	528	0	13	0
15	39	17	5	232	322	0	0	16
16	10	2	-5	424	514	0	15	0
17	42	49	13	145	235	0	0	18
18	46	0	-13	396	486	0	17	0
19	28	6	6	61	151	0	0	20
20	43	26	-6	405	495	0	19	0
21	13	4	15	239	329	0	0	22
22	21	2	-15	376	466	0	21	0
23	37	14	15	113	203	0	0	24
24	29	44	-15	407	497	0	23	0
25	4	29	7	152	242	0	0	26
26	20	29	-7	420	510	0	25	0
27	40	36	11	251	341	0	0	28
28	37	45	-11	394	484	0	27	0
29	30	16	14	33	123	0	0	30
30	18	25	-14	216	306	0	29	0
31	47	4	7	248	338	0	0	32
32	29	31	-7	466	556	0	31	0
33	15	21	5	35	125	0	0	34
34	41	44	-5	329	419	0	33	0
35	46	2	6	102	192	0	0	36
36	44	9	-6	391	481	0	35	0
37	7	46	6	207	297	0	0	38
38	5	8	-6	429	519	0	37	0
39	33	49	12	250	340	0	0	40
40	6	29	-12	445	535	0	39	0
41	28	17	11	150	240	0	0	42
42	44	19	-11	359	449	0	41	0
43	46	43	9	234	324	0	0	44
44	17	18	-9	470	560	0	43	0
45	45	42	14	217	307	0	0	46
46	47	23	-14	383	473	0	45	0
47	11	44	6	92	182	0	0	48
48	15	44	-6	206	296	0	47	0
49	18	27	9	324	414	0	0	50
50	15	12	-9	460	550	0	49	0
51	48	5	11	153	243	0	0	52
52	49	50	-11	387	477	0	51	0
53	15	18	7	273	363	0	0	54
54	35	14	-7	453	543	0	53	0
55	46	19	9	103	193	0	0	56
56	6	3	-9	385	475	0	55	0
57	10	11	8	142	232	0	0	58
58	10	2	-8	369	459	0	57	0
59	11	22	9	98	188	0	0	60
60	2	19	-9	228	318	0	59	0
61	46	23	15	193	283	0	0	62
62	46	5	-15	352	442	0	61	0
63	23	39	13	54	144	0	0	64
64	24	32	-13	433	523	0	63	0
65	46	10	5	257	347	0	0	66
66	12	25	-5	466	556	0	65	0
67	49	46	5	166	256	0	0	68
68	26	5	-5	404	494	0	67	0
69	11	19	10	163	253	0	0	70
70	31	5	-10	420	510	0	69	0
71	40	14	10	248	338	0	0	72
72	28	10	-10	422	512	0	71	0
73	31	25	10	29	119	0	0	74
74	37	42	-10	224	314	0	73	0
75	44	35	6	118	208	0	0	76
76	19	25	-6	460	550	0	75	0
77	14	2	8	187	277	0	0	78
78	22	20	-8	355	445	0	77	0
79	3	35	13	331	421	0	0	80
80	14	37	-13	455	545	0	79	0
81	23	11	15	120	210	0	0	82
82	39	46	-15	428	518	0	81	0
83	3	12	8	115	205	0	0	84
84	7	37	-8	427	517	0	83	0
85	29	13	5	66	156	0	0	86
86	48	17	-5	244	334	0	85	0
87	26	16	10	360	450	0	0	88
88	23	26	-10	498	588	0	87	0
89	4	12	7	245	335	0	0	90
90	27	11	-7	441	531	0	89	0
91	2	4	15	194	284	0	0	92
92	25	13	-15	440	530	0	91	0
93	31	13	8	322	412	0	0	94
94	27	29	-8	474	564	0	93	0
95	35	24	5	85	175	0	0	96
96	24	20	-5	330	420	0	95	0
97	46	21	13	140	230	0	0	98
98	44	15	-13	290	380	0	97	0
99	32	35	11	206	296	0	0	100
100	48	8	-11	409	499	0	99	0
