task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	14	13	10	229	319	0	0	2
2	3	8	-10	360	450	0	1	0
3	4	27	13	266	356	0	0	4
4	4	19	-13	419	509	0	3	0
5	24	15	14	150	240	0	0	6
6	44	48	-14	379	469	0	5	0
7	31	42	8	214	304	0	0	8
8	3	16	-8	432	522	0	7	0
9	16	41	19	223	313	0	0	10
10	16	26	-19	455	545	0	9	0
11	19	43	12	200	290	0	0	12
12	18	39	-12	348	438	0	11	0
13	40	37	7	63	153	0	0	14
14	23	6	-7	341	431	0	13	0
15	40	30	16	166	256	0	0	16
16	16	42	-16	374	464	0	15	0
17	25	42	15	181	271	0	0	18
18	15	7	-15	424	514	0	17	0
19	44	34	12	80	170	0	0	20
20	21	38	-12	376	466	0	19	0
21	35	0	12	131	221	0	0	22
22	6	16	-12	439	529	0	21	0
23	36	43	10	161	251	0	0	24
24	6	1	-10	414	504	0	23	0
25	45	42	5	293	383	0	0	26
26	47	37	-5	419	509	0	25	0
27	12	24	15	212	302	0	0	28
28	5	49	-15	401	491	0	27	0
29	6	35	7	73	163	0	0	30
30	29	12	-7	429	519	0	29	0
31	41	14	13	204	294	0	0	32
32	3	25	-13	435	525	0	31	0
33	5	33	5	157	247	0	0	34
34	3	16	-5	404	494	0	33	0
35	25	31	7	128	218	0	0	36
36	28	24	-7	430	520	0	35	0
37	33	24	6	229	319	0	0	38
38	9	30	-6	447	537	0	37	0
39	15	10	11	191	281	0	0	40
40	20	32	-11	402	492	0	39	0
41	47	3	6	192	282	0	0	42
42	30	29	-6	380	470	0	41	0
43	49	33	16	269	359	0	0	44
44	28	33	-16	474	564	0	43	0
45	4	46	20	153	243	0	0	46
46	1	30	-20	435	525	0	45	0
47	37	21	18	123	213	0	0	48
48	41	19	-18	238	328	0	47	0
49	25	42	15	160	250	0	0	50
50	46	21	-15	362	452	0	49	0
51	33	14	11	181	271	0	0	52
52	17	46	-11	415	505	0	51	0
53	17	11	5	204	294	0	0	54
54	6	8	-5	394	484	0	53	0
55	30	43	19	297	387	0	0	56
56	26	15	-19	476	566	0	55	0
57	28	48	15	307	397	0	0	58
58	26	47	-15	439	529	0	57	0
59	31	26	19	140	230	0	0	60
60	37	11	-19	389	479	0	59	0
61	20	7	10	163	253	0	0	62
62	1	10	-10	377	467	0	61	0
63	20	27	7	324	414	0	0	64
64	8	26	-7	457	547	0	63	0
65	41	26	10	94	184	0	0	66
66	49	16	-10	376	466	0	65	0
67	27	29	16	172	262	0	0	68
68	3	36	-16	376	466	0	67	0
69	16	42	8	280	370	0	0	70
70	27	46	-8	410	500	0	69	0
71	24	34	11	165	255	0	0	72
72	18	0	-11	382	472	0	71	0
73	22	13	10	81	171	0	0	74
74	28	45	-10	358	448	0	73	0
75	21	47	12	217	307	0	0	76
76	37	32	-12	455	545	0	75	0
77	28	28	20	64	154	0	0	78
78	2	36	-20	377	467	0	77	0
79	45	47	20	141	231	0	0	80
80	31	27	-20	328	418	0	79	0
81	36	16	14	91	181	0	0	82
82	3	4	-14	314	404	0	81	0
83	29	17	14	41	131	0	0	84
84	32	3	-14	267	357	0	83	0
85	23	13	15	100	190	0	0	86
86	7	47	-15	390	480	0	85	0
87	36	26	12	202	292	0	0	88
88	31	3	-12	384	474	0	87	0
89	27	10	16	353	443	0	0	90
90	24	16	-16	473	563	0	89	0
91	49	49	5	172	262	0	0	92
92	13	10	-5	439	529	0	91	0
93	19	32	6	214	304	0	0	94
94	48	17	-6	425	515	0	93	0
95	28	19	7	161	251	0	0	96
96	36	45	-7	409	499	0	95	0
97	21	38	5	294	384	0	0	98
98	11	19	-5	457	547	0	97	0
99	29	47	5	261	351	0	0	100
100	10	34	-5	442	532	0	99	0
